title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Defense Federal Acquisition Regulation Supplement: Repeal of DFARS Provision “Representation Regarding Combating Trafficking in Persons” (DFARS Case 2018-D003),Rule,Defense Department; Defense Acquisition Regulations System,DoD is issuing a final rule amending the Defense Federal Acquisition Regulation Supplement (DFARS) to remove a provision that is no longer necessary and duplicative of an existing Federal Acquisition Regulation (FAR) clause., 2018-11340,https://www.federalregister.gov/documents/2018/05/30/2018-11340/defense-federal-acquisition-regulation-supplement-repeal-of-dfars-provision-representation-regarding,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11340.pdf,05/30/2018
Defense Federal Acquisition Regulation Supplement: Delegation of Special Emergency Procurement Authority (DFARS Case 2018-D024),Rule,Defense Department; Defense Acquisition Regulations System,"DoD is amending the Defense Federal Acquisition Regulation Supplement (DFARS) to delegate to the head of the contracting activity the decision authorities provided to the head of the agency by sections of the National Defense Authorization Act for Fiscal Year 2018 that provide new special emergency procurement authorities. This final rule also makes conforming changes to nonstatutory emergency acquisition flexibilities relating to item-unique identification, receipt of only one offer, and limitations on time-and-materials contracts.", 2018-11341,https://www.federalregister.gov/documents/2018/05/30/2018-11341/defense-federal-acquisition-regulation-supplement-delegation-of-special-emergency-procurement,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11341.pdf,05/30/2018
Defense Federal Acquisition Regulation Supplement: Repeal of Restrictions on Chemical Weapons Antidote (DFARS Case 2018-D006),Rule,Defense Department; Defense Acquisition Regulations System,"DoD is issuing a final rule to amend the Defense Federal Acquisition Regulation Supplement (DFARS) to implement a section of the National Defense Authorization Act for Fiscal Year 2018 that established a sunset date for restrictions on acquisition of chemical weapons antidote contained in automatic injectors, or the components of such injectors.", 2018-11343,https://www.federalregister.gov/documents/2018/05/30/2018-11343/defense-federal-acquisition-regulation-supplement-repeal-of-restrictions-on-chemical-weapons,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11343.pdf,05/30/2018
Defense Federal Acquisition Regulation Supplement: Modification of DFARS Clause “Riding Gang Member Requirements” (DFARS Case 2018-D026),Rule,Defense Department; Defense Acquisition Regulations System,DoD is issuing a final rule amending the Defense Federal Acquisition Regulation Supplement (DFARS) to clarify the agency that conducts the background check procedures that are required for contractors who perform work on U.S.-flag vessels under DoD contracts for ocean transportation services., 2018-11344,https://www.federalregister.gov/documents/2018/05/30/2018-11344/defense-federal-acquisition-regulation-supplement-modification-of-dfars-clause-riding-gang-member,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11344.pdf,05/30/2018
Defense Federal Acquisition Regulation Supplement: Repeal of DFARS Clause “Right of First Refusal of Employment-Closure of Military Installations” (DFARS Case 2018-D002),Rule,Defense Department; Defense Acquisition Regulations System,DoD is issuing a final rule amending the Defense Federal Acquisition Regulation Supplement (DFARS) to remove a clause that is duplicative of an existing Federal Acquisition Regulation (FAR) clause that requires a contractor to give Government personnel the right of first refusal for employment openings in certain situations., 2018-11346,https://www.federalregister.gov/documents/2018/05/30/2018-11346/defense-federal-acquisition-regulation-supplement-repeal-of-dfars-clause-right-of-first-refusal-of,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11346.pdf,05/30/2018
"Defense Federal Acquisition Regulation Supplement: Repeal of DFARS Provision “Alternate A, System for Award Management” (DFARS Case 2017-D044)",Rule,Defense Department; Defense Acquisition Regulations System,DoD is issuing a final rule amending the Defense Federal Acquisition Regulation Supplement (DFARS) to remove a provision that is duplicative of an existing Federal Acquisition Regulation (FAR) provision that requires a vendor to enter Commercial and Government Entity (CAGE) code information into a Governmentwide database prior to award of any contract or agreement., 2018-11347,https://www.federalregister.gov/documents/2018/05/30/2018-11347/defense-federal-acquisition-regulation-supplement-repeal-of-dfars-provision-alternate-a-system-for,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11347.pdf,05/30/2018
Defense Federal Acquisition Regulation Supplement: Micro-Purchase Threshold (DFARS Case 2017-D027),Rule,Defense Department; Defense Acquisition Regulations System,DoD is issuing a final rule amending the Defense Federal Acquisition Regulation Supplement (DFARS) to implement sections of the National Defense Authorization Act for Fiscal Year 2017 that increase the micro-purchase thresholds for certain Department of Defense acquisitions., 2018-11349,https://www.federalregister.gov/documents/2018/05/30/2018-11349/defense-federal-acquisition-regulation-supplement-micro-purchase-threshold-dfars-case-2017-d027,https://www.gpo.gov/fdsys/pkg/FR-2018-05-30/pdf/2018-11349.pdf,05/30/2018
Airworthiness Directives; Airbus Airplanes,Rule,Transportation Department; Federal Aviation Administration,"We are adopting a new airworthiness directive (AD) for all Airbus Model A310-203, -221, -222, -304, -322, -324, and -325 airplanes. This AD was prompted by a design approval holder (DAH) evaluation indicating that the outer wing lower junction is subject to widespread fatigue damage (WFD). This AD requires modifying the fastener holes at certain locations, which includes related investigative actions and applicable corrective actions. We are issuing this AD to address the unsafe condition on these products.", 2018-11171,https://www.federalregister.gov/documents/2018/05/29/2018-11171/airworthiness-directives-airbus-airplanes,https://www.gpo.gov/fdsys/pkg/FR-2018-05-29/pdf/2018-11171.pdf,05/29/2018
"Airworthiness Directives; Saab AB, Saab Aeronautics (Formerly Known as Saab AB, Saab Aerosystems) Airplanes",Rule,Transportation Department; Federal Aviation Administration,"We are adopting a new airworthiness directive (AD) for all Saab AB, Saab Aeronautics Model SAAB 2000 airplanes. This AD requires a one-time inspection of the aileron bellcrank support brackets and a thickness measurement of the affected lug attaching the support bracket; repetitive inspections of the affected aileron bellcrank support brackets; and corrective actions if necessary. This AD also provides an optional terminating action for the repetitive inspections. This AD was prompted by the identification of a manufacturing defect on certain aileron bellcrank support brackets that resulted in the material thickness of the affected lug attaching the support bracket to the rear spar of the wing to be insufficient. We are issuing this AD to address the unsafe condition on these products.", 2018-11267,https://www.federalregister.gov/documents/2018/05/29/2018-11267/airworthiness-directives-saab-ab-saab-aeronautics-formerly-known-as-saab-ab-saab-aerosystems,https://www.gpo.gov/fdsys/pkg/FR-2018-05-29/pdf/2018-11267.pdf,05/29/2018
"Modification of Air Traffic Service (ATS) Routes in the Vicinity of Richmond, IN",Rule,Transportation Department; Federal Aviation Administration,"This action modifies five VHF Omnidirectional Range (VOR) Federal airways (V-12, V-214, V-340, V-467, and V-517) and one low altitude area navigation (RNAV) route (T-213) in the vicinity of Richmond, IN. The FAA is taking this action due to the planned decommissioning of the Richmond, IN, VHF Omnidirectional Range/Tactical Air Navigation (VORTAC) navigation aid (NAVAID) which provides navigation guidance for portions of the affected ATS routes. Overall, this action enhances the safety and management of aircraft within the National Airspace System (NAS).", 2018-11327,https://www.federalregister.gov/documents/2018/05/29/2018-11327/modification-of-air-traffic-service-ats-routes-in-the-vicinity-of-richmond-in,https://www.gpo.gov/fdsys/pkg/FR-2018-05-29/pdf/2018-11327.pdf,05/29/2018
Use of Force by Personnel Engaged in Law Enforcement and Security Duties,Rule,Defense Department; Army Department,"This final rule removes DoD's regulation concerning the use of force by Department of the Army personnel engaged in law enforcement and security duties. This part conveys internal Army policy and procedures, and is unnecessary.", 2018-11397,https://www.federalregister.gov/documents/2018/05/29/2018-11397/use-of-force-by-personnel-engaged-in-law-enforcement-and-security-duties,https://www.gpo.gov/fdsys/pkg/FR-2018-05-29/pdf/2018-11397.pdf,05/29/2018
Motor Vehicle Traffic Supervision (Specific Installations),Rule,Defense Department; Army Department,"This final rule removes DoD's regulation concerning the use of motor vehicles on specific military installations. This part conveys Army policy and procedures duplicated in 32 CFR part 634, and it is unnecessary.", 2018-11396,https://www.federalregister.gov/documents/2018/05/29/2018-11396/motor-vehicle-traffic-supervision-specific-installations,https://www.gpo.gov/fdsys/pkg/FR-2018-05-29/pdf/2018-11396.pdf,05/29/2018
"Drawbridge Operation Regulation; Harlem River, Bronx, New York",Rule,Homeland Security Department; Coast Guard,"The Coast Guard has issued a temporary deviation from the operating schedule that governs the Metro North (Park Avenue) Bridge across the Harlem River, mile 2.1, at Bronx, New York. This temporary deviation is necessary to allow the bridge to open for marine traffic with 24 hour advance notice during construction in the bridge control room.", 2018-11371,https://www.federalregister.gov/documents/2018/05/29/2018-11371/drawbridge-operation-regulation-harlem-river-bronx-new-york,https://www.gpo.gov/fdsys/pkg/FR-2018-05-29/pdf/2018-11371.pdf,05/29/2018
"Safety Zone, Coast Guard Exercise Area, Hood Canal, Washington",Rule,Homeland Security Department; Coast Guard,"The Coast Guard will enforce the safety zone around vessels involved in Coast Guard training exercises in Hood Canal, WA from July 9, 2018 through July 13, 2018, unless cancelled sooner by the Captain of the Port. This is necessary to ensure the safety of the maritime public and vessels participating in these exercises. During the enforcement period, entry into this zone is prohibited unless authorized by the Captain of the Port or her Designated Representative.", 2018-11463,https://www.federalregister.gov/documents/2018/05/29/2018-11463/safety-zone-coast-guard-exercise-area-hood-canal-washington,https://www.gpo.gov/fdsys/pkg/FR-2018-05-29/pdf/2018-11463.pdf,05/29/2018
Air Plan Approval; Illinois; Nonattainment Plans for the Lemont and Pekin SO2,Rule,Environmental Protection Agency,This document corrects an error in the amendatory instruction in a final rule pertaining to the sulfur dioxide (SO<INF>2</INF>) nonattainment plans for the Lemont and Pekin areas., 2018-11324,https://www.federalregister.gov/documents/2018/05/29/2018-11324/air-plan-approval-illinois-nonattainment-plans-for-the-lemont-and-pekin-so2,https://www.gpo.gov/fdsys/pkg/FR-2018-05-29/pdf/2018-11324.pdf,05/29/2018
