title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Definition of Domiciliary Care,Proposed Rule,Veterans Affairs Department,"The Department of Veterans Affairs (VA) proposes to amend its rule defining domiciliary care, to accurately reflect the scope of services currently provided under the Domiciliary Care Program. VA's Domiciliary Care Program provides a temporary home to certain veterans, which includes the furnishing of shelter, goods, clothing and other comforts of home, as well as medical services. In 2005 VA designated its Mental Health Residential Rehabilitation Treatment Program (MH RRTP) as a type of domiciliary care. MH RRTP provides clinically intensive residential rehabilitative services to certain mental health patient populations. We propose to amend the definition of domiciliary care to reflect that domiciliary care includes MH RRTP. In addition, VA domiciliary care, as a matter of long-standing practice, includes non-permanent housing, but this is not clear in the regulation. The proposed rule would clarify that domiciliary care provides temporary, not permanent, residence to affected veterans.", 2018-07082,https://www.federalregister.gov/documents/2018/04/06/2018-07082/definition-of-domiciliary-care,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-07082.pdf,04/06/2018
"Promulgation of State Implementation Plan Revisions; Colorado; Attainment Demonstration for the 2008 8-Hour Ozone Standard for the Denver Metro/North Front Range Nonattainment Area, and Approval of Related Revisions",Proposed Rule,Environmental Protection Agency,"On May 31, 2017, the State of Colorado submitted State Implementation Plan (SIP) revisions related to attainment of the 2008 8-hour ozone National Ambient Air Quality Standards (NAAQS) for the Denver Metro/North Front Range (DMNFR) Moderate nonattainment area by the applicable attainment date of July 20, 2018. The Environmental Protection Agency (EPA) proposes to approve the majority of the submittal, which includes an attainment demonstration, base and future year emission inventories, a reasonable further progress (RFP) demonstration, a reasonably available control measures (RACM) analysis, a motor vehicle inspection and maintenance (I/M) program in Colorado Regulation Number 11 (Reg. No. 11), a nonattainment new source review (NNSR) program, a contingency measures plan, 2017 motor vehicle emissions budgets (MVEBs) for transportation conformity, and revisions to Colorado Regulation Number 7 (Reg. No. 7). The EPA is also proposing to approve portions of the reasonably available control technology (RACT) analysis. Finally, the EPA proposes to approve revisions made to Colorado's Reg. No. 7 in a May 5, 2013 SIP submission. This action is being taken in accordance with the Clean Air Act (CAA).", 2018-06847,https://www.federalregister.gov/documents/2018/04/06/2018-06847/promulgation-of-state-implementation-plan-revisions-colorado-attainment-demonstration-for-the-2008,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-06847.pdf,04/06/2018
Revise and Streamline VA Acquisition Regulation-Parts 831 and 833,Proposed Rule,Veterans Affairs Department,"The Department of Veterans Affairs (VA) is proposing to amend and update its VA Acquisition Regulation (VAAR) in phased increments to revise or remove any policy superseded by changes in the Federal Acquisition Regulation (FAR), to remove any procedural guidance internal to VA into the VA Acquisition Manual (VAAM), and to incorporate any new agency specific regulations or policies. These changes seek to streamline and align the VAAR with the FAR and remove outdated and duplicative requirements and reduce burden on contractors. The VAAM incorporates portions of the removed VAAR as well as other internal agency acquisition policy. VA will rewrite certain parts of the VAAR and VAAM, and as VAAR parts are rewritten, we will publish them in the Federal Register. VA will combine related topics, as appropriate. In particular, this rulemaking revises VAAR parts 831-- Contract Cost Principles and Procedures and 833--Protests, Disputes, and Appeals, as well as affected parts 852--Solicitation Provisions and Contract Clauses, and 871--Loan Guaranty and Vocational Rehabilitation and Employment Programs.", 2018-04003,https://www.federalregister.gov/documents/2018/04/06/2018-04003/revise-and-streamline-va-acquisition-regulation-parts-831-and-833,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-04003.pdf,04/06/2018
Revise and Streamline VA Acquisition Regulation-Parts 844 and 845,Proposed Rule,Veterans Affairs Department,"The Department of Veterans Affairs (VA) is proposing to amend and update its VA Acquisition Regulation (VAAR) in phased increments to revise or remove any policy that has been superseded by changes in the Federal Acquisition Regulation (FAR), to remove any procedural guidance that is internal to the VA into the VA Acquisition Manual (VAAM), and to incorporate new regulations or policies. These changes seek to streamline and align the VAAR with the FAR and remove outdated and duplicative requirements and reduce burden on contractors. The VAAM incorporates portions of the removed VAAR as well as other internal agency acquisition policy. VA will rewrite certain parts of the VAAR and VAAM, and as VAAR parts are rewritten, we'll publish them in the Federal Register. VA will combine related topics, as appropriate. In particular, this rulemaking revises VAAR Parts 844--Subcontracting Policies and Procedures, and Part 845--Government Property.", 2018-04004,https://www.federalregister.gov/documents/2018/04/06/2018-04004/revise-and-streamline-va-acquisition-regulation-parts-844-and-845,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-04004.pdf,04/06/2018
Endangered and Threatened Wildlife and Plants; Section 4(d) Rule for Louisiana Pinesnake,Proposed Rule,Interior Department; Fish and Wildlife Service,"We, the U.S. Fish and Wildlife Service (Service), propose a rule under section 4(d) of the Endangered Species Act for the Louisiana pinesnake (Pituophis ruthveni), a reptile from Louisiana and Texas. This rule would provide measures to protect the species.", 2018-07108,https://www.federalregister.gov/documents/2018/04/06/2018-07108/endangered-and-threatened-wildlife-and-plants-section-4d-rule-for-louisiana-pinesnake,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-07108.pdf,04/06/2018
National Emission Standards for Hazardous Air Pollutants: Wet-Formed Fiberglass Mat Production Residual Risk and Technology Review,Proposed Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is proposing amendments to the National Emission Standards for Hazardous Air Pollutants for Wet-Formed Fiberglass Mat Production to address the results of the residual risk and technology review (RTR) that the EPA is required to conduct in accordance with section 112 of the Clean Air Act (CAA). We found risks due to emissions of air toxics to be acceptable from this source category, determined that the current standards provide an ample margin of safety to protect public health, and identified no new cost-effective controls under the technology review to achieve further emissions reductions. Therefore, we are proposing no revisions to the numerical emission limits based on these analyses. However, the EPA is proposing to revise provisions pertaining to emissions during periods of startup, shutdown, and malfunction (SSM); add requirements for electronic submittal of performance test results; revise certain monitoring, recordkeeping, and reporting requirements; and make other miscellaneous technical and editorial changes. While the proposed amendments would not result in reductions in emissions of hazardous air pollutants (HAP), if finalized, they would result in improved compliance and implementation of the rule.", 2018-06541,https://www.federalregister.gov/documents/2018/04/06/2018-06541/national-emission-standards-for-hazardous-air-pollutants-wet-formed-fiberglass-mat-production,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-06541.pdf,04/06/2018
Notice of Regulatory Review,Proposed Rule,Federal Housing Finance Agency,"The Federal Housing Finance Agency (FHFA) is issuing a notice of a regulatory review to be conducted in accordance with the process set forth in its Regulatory Review Plan published in February 2012, and requesting comments on how its regulations may be made more effective and less burdensome.", 2018-06918,https://www.federalregister.gov/documents/2018/04/05/2018-06918/notice-of-regulatory-review,https://www.gpo.gov/fdsys/pkg/FR-2018-04-05/pdf/2018-06918.pdf,04/05/2018
Airworthiness Directives; Bell Helicopter Textron Canada Limited Helicopters,Proposed Rule,Transportation Department; Federal Aviation Administration,"We propose to supersede Airworthiness Directive (AD) 2017-13- 03 for Bell Helicopter Textron Canada Limited (Bell) Model 429 helicopters. AD 2017-13-03 requires adding an identification number to life-limited rod ends that do not have a serial number (S/N). Since we issued AD 2017-13-03, an additional life-limited rod end was identified that is affected by the same unsafe condition. This proposed AD would retain the requirements of AD 2017-13-03 and revise the Applicability paragraph by adding that rod end. The actions of this proposed AD are intended to address an unsafe condition on these products.", 2018-06640,https://www.federalregister.gov/documents/2018/04/05/2018-06640/airworthiness-directives-bell-helicopter-textron-canada-limited-helicopters,https://www.gpo.gov/fdsys/pkg/FR-2018-04-05/pdf/2018-06640.pdf,04/05/2018
"Proposed Establishment of Class E Airspace; Ellijay, GA",Proposed Rule,Transportation Department; Federal Aviation Administration,"This action proposes to establish Class E airspace extending upward from 700 feet above the surface at Ellijay, GA, to accommodate new area navigation (RNAV) global positioning system (GPS) standard instrument approach procedures (SIAPs) serving Gilmer County Airport. Controlled airspace is necessary for the safety and management of instrument flight rules (IFR) operations at this airport.", 2018-06753,https://www.federalregister.gov/documents/2018/04/05/2018-06753/proposed-establishment-of-class-e-airspace-ellijay-ga,https://www.gpo.gov/fdsys/pkg/FR-2018-04-05/pdf/2018-06753.pdf,04/05/2018
"Proposed Amendment of Class D and Class E Airspace; Eastover, SC and Sumter, SC",Proposed Rule,Transportation Department; Federal Aviation Administration,"This action proposes to amend Class D airspace and Class E airspace extending upward from 700 feet above the surface at McEntire Joint National Guard Base (JNGB), Eastover, SC, to accommodate airspace reconfiguration due to the decommissioning of the McEntire non- directional radio beacon (NDB) and cancellation of the NDB approach. Controlled airspace is necessary for the safety and management of instrument flight rules (IFR) operations at the airport. This action also would update the geographic coordinates of the McEntire JNGB, Shaw AFB, and Sumter Airport, Sumter, SC, and update the names of McEntire JNGB and Sumter Airport. Also, an editorial change would be made to the airspace designation in both Class D and E airspace.", 2018-06752,https://www.federalregister.gov/documents/2018/04/05/2018-06752/proposed-amendment-of-class-d-and-class-e-airspace-eastover-sc-and-sumter-sc,https://www.gpo.gov/fdsys/pkg/FR-2018-04-05/pdf/2018-06752.pdf,04/05/2018
Children's Online Privacy Protection Rule Safe Harbor Proposed Self-Regulatory Guidelines; the Entertainment Software Rating Board's COPPA Safe Harbor Program Application To Modify Program Requirements,Proposed Rule,Federal Trade Commission,"The Federal Trade Commission publishes this notification and request for public comment concerning proposed modifications to Entertainment Software Rating Board's (``ESRB'') Commission-approved self-regulatory guidelines, under the ``safe harbor'' provision of the Children's Online Privacy Protection Rule.", 2018-06976,https://www.federalregister.gov/documents/2018/04/05/2018-06976/childrens-online-privacy-protection-rule-safe-harbor-proposed-self-regulatory-guidelines-the,https://www.gpo.gov/fdsys/pkg/FR-2018-04-05/pdf/2018-06976.pdf,04/05/2018
Release of Information From Department of Veterans Affairs' Records,Proposed Rule,Veterans Affairs Department,"This document amends the Department of Veterans Affairs' (VA) regulations governing the submission and processing of requests for information under the Freedom of Information Act (FOIA) and the Privacy Act in order to reorganize, streamline, and clarify existing regulations.", 2018-06097,https://www.federalregister.gov/documents/2018/04/05/2018-06097/release-of-information-from-department-of-veterans-affairs-records,https://www.gpo.gov/fdsys/pkg/FR-2018-04-05/pdf/2018-06097.pdf,04/05/2018
Olives Grown in California; Decreased Assessment Rate,Proposed Rule,Agriculture Department; Agricultural Marketing Service,"This proposed rule would implement a recommendation from the California Olive Committee (Committee) to decrease the assessment rate established for the 2018 fiscal year and subsequent fiscal years. The assessment rate would remain in effect indefinitely unless modified, suspended, or terminated.", 2018-06877,https://www.federalregister.gov/documents/2018/04/04/2018-06877/olives-grown-in-california-decreased-assessment-rate,https://www.gpo.gov/fdsys/pkg/FR-2018-04-04/pdf/2018-06877.pdf,04/04/2018
"Special Local Regulation; Tred Avon River, Between Bellevue, MD and Oxford, MD",Proposed Rule,Homeland Security Department; Coast Guard,"The Coast Guard proposes to establish special local regulations for certain waters of the Tred Avon River. This action is necessary to provide for the safety of life on the navigable waters located between Bellevue, MD, and Oxford, MD, during a swim event on June 9, 2018. If necessary, due to inclement weather, the event will be rescheduled to June 10, 2018. This proposed rulemaking would prohibit persons and vessels from entering the regulated area unless authorized by the Captain of the Port Maryland-National Capital Region or the Coast Guard Patrol Commander. We invite your comments on this proposed rulemaking.", 2018-06845,https://www.federalregister.gov/documents/2018/04/04/2018-06845/special-local-regulation-tred-avon-river-between-bellevue-md-and-oxford-md,https://www.gpo.gov/fdsys/pkg/FR-2018-04-04/pdf/2018-06845.pdf,04/04/2018
"Safety Zone for Fireworks Display; Severn River, Sherwood Forest, MD",Proposed Rule,Homeland Security Department; Coast Guard,"The Coast Guard proposes to establish a temporary safety zone for certain waters of the Severn River. This action is necessary to provide for the safety of life on the navigable waters of the Severn River at Sherwood Forest, MD, during a fireworks display on July 3, 2018 (with alternate date of July 6, 2018). This action would prohibit persons and vessels from entering the safety zone unless authorized by the Captain of the Port Maryland-National Capital Region or a designated representative. We invite your comments on this proposed rulemaking.", 2018-06851,https://www.federalregister.gov/documents/2018/04/04/2018-06851/safety-zone-for-fireworks-display-severn-river-sherwood-forest-md,https://www.gpo.gov/fdsys/pkg/FR-2018-04-04/pdf/2018-06851.pdf,04/04/2018
Approval and Promulgation of Air Quality Implementation Plans; Virginia; Nonattainment New Source Review Requirements for the 2008 8-Hour Ozone Standard,Proposed Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is proposing to approve a revision to the Commonwealth of Virginia's state implementation plan (SIP). The revision is in response to EPA's February 3, 2017 Findings of Failure to Submit for various requirements relating to the 2008 8-hour ozone national ambient air quality standards (NAAQS). This SIP revision is specific to nonattainment new source review (NNSR) requirements. EPA is proposing to approve this revision in accordance with the requirements of the Clean Air Act (CAA).", 2018-06880,https://www.federalregister.gov/documents/2018/04/04/2018-06880/approval-and-promulgation-of-air-quality-implementation-plans-virginia-nonattainment-new-source,https://www.gpo.gov/fdsys/pkg/FR-2018-04-04/pdf/2018-06880.pdf,04/04/2018
"Approval of California Plan Revisions, Northern Sonoma County Air Pollution Control District; Stationary Source Permits",Proposed Rule,Environmental Protection Agency,The Environmental Protection Agency (EPA) is proposing to approve revisions to the Northern Sonoma County Air Pollution Control District (NSCAPCD or District) portion of the California State Implementation Plan (SIP). This revision concerns the District's prevention of significant deterioration (PSD) permitting program for new and modified sources of air pollution. We are proposing action on these local rules under the Clean Air Act as amended in 1990 (CAA or the Act). We are taking comments on this proposal and plan to follow with a final action., 2018-06878,https://www.federalregister.gov/documents/2018/04/04/2018-06878/approval-of-california-plan-revisions-northern-sonoma-county-air-pollution-control-district,https://www.gpo.gov/fdsys/pkg/FR-2018-04-04/pdf/2018-06878.pdf,04/04/2018
National Vaccine Injury Compensation Program: Adding the Category of Vaccines Recommended for Pregnant Women to the Vaccine Injury Table,Proposed Rule,Health and Human Services Department,"As required by a recent amendment to the VICP's authorizing statute, the Secretary of the Department of Health and Human Services (Secretary) proposes to amend the National Vaccine Injury Compensation Program (VICP) Vaccine Injury Table (Table) to include vaccines recommended by the Centers for Disease Control and Prevention (CDC) for routine administration in pregnant women. Thus, the Secretary is only seeking public comment on how the addition of this new category is proposed to be formatted on the Table.", 2018-06770,https://www.federalregister.gov/documents/2018/04/04/2018-06770/national-vaccine-injury-compensation-program-adding-the-category-of-vaccines-recommended-for,https://www.gpo.gov/fdsys/pkg/FR-2018-04-04/pdf/2018-06770.pdf,04/04/2018
Encouraging the Provision of New Technologies and Services to the Public,Proposed Rule,Federal Communications Commission,"In this document, the Commission is committed to improving the process for enabling the introduction of new technologies and services that serve the public interest and made available to the public on a timely basis. Therefore, the Commission proposes guidelines and procedures to implement.", 2018-06741,https://www.federalregister.gov/documents/2018/04/04/2018-06741/encouraging-the-provision-of-new-technologies-and-services-to-the-public,https://www.gpo.gov/fdsys/pkg/FR-2018-04-04/pdf/2018-06741.pdf,04/04/2018
"Fisheries of the Caribbean, Gulf of Mexico, and South Atlantic; Electronic Reporting for Federally Permitted Charter Vessels and Headboats in Atlantic Fisheries",Proposed Rule,Commerce Department; National Oceanic and Atmospheric Administration,"NMFS proposes to implement management measures described in the For-hire Reporting Amendment, as prepared and submitted by the South Atlantic Fishery Management Council (South Atlantic Council) and Gulf of Mexico (Gulf) Fishery Management Council (Gulf Council). The For-hire Reporting Amendment includes Amendment 27 to the Fishery Management Plan (FMP) for Coastal Migratory Pelagic (CMP) Resources of the Gulf and Atlantic Region (CMP FMP), Amendment 9 to the FMP for the Dolphin and Wahoo Fishery off the Atlantic States (Dolphin Wahoo FMP), and Amendment 39 to the FMP for the Snapper-Grouper Fishery of the South Atlantic Region (Snapper-Grouper FMP). If implemented, this proposed rule would establish new, and revise existing, electronic reporting requirements for federally permitted charter vessels and headboats (for-hire vessels), respectively. This proposed rule would require a charter vessel with a Federal charter vessel/headboat permit for Atlantic CMP, Atlantic dolphin and wahoo, or South Atlantic snapper-grouper species to submit an electronic fishing report weekly, or at shorter intervals if notified by NMFS, through NMFS-approved hardware and software. The proposed rule would also reduce the time allowed for headboats to submit an electronic fishing report. The purpose of this proposed rule is to increase and improve fisheries information collected from federally permitted for-hire vessels in the Atlantic. The information is expected to improve recreational fisheries management of the for-hire component in the Atlantic.", 2018-06794,https://www.federalregister.gov/documents/2018/04/04/2018-06794/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-electronic-reporting-for-federally,https://www.gpo.gov/fdsys/pkg/FR-2018-04-04/pdf/2018-06794.pdf,04/04/2018
"Oranges, Grapefruit, Tangerines, and Pummelos Grown in Florida; Increased Assessment Rate",Proposed Rule,Agriculture Department; Agricultural Marketing Service,"This proposed rule would implement a recommendation from the Citrus Administrative Committee (Committee) to increase the assessment rate established for the 2017-18 and subsequent fiscal periods. The assessment rate would remain in effect indefinitely unless modified, suspended, or terminated.", 2018-06726,https://www.federalregister.gov/documents/2018/04/03/2018-06726/oranges-grapefruit-tangerines-and-pummelos-grown-in-florida-increased-assessment-rate,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06726.pdf,04/03/2018
Federal Housing Finance Board; Repeal of Federal Housing Finance Board Regulations,Proposed Rule,Federal Housing Finance Agency,"The Federal Housing Finance Agency (FHFA) is proposing to repeal two parts of the Federal Housing Finance Board (Finance Board) regulations, one of which defines terms used in Finance Board regulations and one of which describes the process by which the Finance Board conducted its monthly interest rate survey (MIRS). The definitions to be repealed are either obsolete or duplicate definitions that FHFA has previously adopted. The regulation relating to the MIRS has become outdated because it does not accurately describe the manner in which FHFA currently conducts the survey. Although FHFA intends to continue to conduct the MIRS in the same manner as it is doing presently, there is no need to carry over this provision into its own regulations. FHFA also is proposing to repeal a number of subchapters of the Finance Board regulations that it had previously reserved, but which no longer serve any purpose because they include no regulatory text.", 2018-06564,https://www.federalregister.gov/documents/2018/04/03/2018-06564/federal-housing-finance-board-repeal-of-federal-housing-finance-board-regulations,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06564.pdf,04/03/2018
Airworthiness Directives; The Boeing Company Airplanes,Proposed Rule,Transportation Department; Federal Aviation Administration,"We are revising an earlier proposal for all The Boeing Company Model 737-600, -700, -700C, -800, -900, and -900ER series airplanes; Model 757 airplanes; and Model 767 airplanes. This action revises the notice of proposed rulemaking (NPRM) by adding Model 737-8 airplanes and future Model 737 airplanes to the applicability. We are proposing this airworthiness directive (AD) to address the unsafe condition on these products. Since these actions impose an additional burden over those proposed in the NPRM, we are reopening the comment period to allow the public the chance to comment on these changes.", 2018-05028,https://www.federalregister.gov/documents/2018/04/03/2018-05028/airworthiness-directives-the-boeing-company-airplanes,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-05028.pdf,04/03/2018
Special Local Regulations; Sector Ohio Valley Annual and Recurring Special Local Regulations Update,Proposed Rule,Homeland Security Department; Coast Guard,"The Coast Guard proposes to amend its special local regulations for recurring marine parades, regattas, and other events in Coast Guard Sector Ohio Valley. This rule, if adopted, would add 17 new recurring special local regulations, remove 9 special local regulations, and amend the event/sponsor, dates, and/or regulated areas for 48 recurring special local regulations already listed in the current table. This action in necessary to protect spectators, participants, and vessels from the hazards associated with annual marine events. This proposed rulemaking would restrict vessel traffic in the designated areas during the events unless authorized by the Captain of the Port Sector Ohio Valley or a designated representative. We invite your comments on this proposed rulemaking.", 2018-06740,https://www.federalregister.gov/documents/2018/04/03/2018-06740/special-local-regulations-sector-ohio-valley-annual-and-recurring-special-local-regulations-update,https://www.gpo.gov/fdsys/pkg/FR-2018-04-03/pdf/2018-06740.pdf,04/03/2018
